Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Round Trip Time,devices-00a37229-8bb1-400b-b262-3b8a22ebf253,199,0,23,23.44945955277279,21.043142998678377,37.7049150001767,256.0,0.26106624286974084,0.0,23,24,24,25,25,25,25,26,38,38,38
latência,devices-00a37229-8bb1-400b-b262-3b8a22ebf253,199,0,12,11.768868477341144,9.681391999947664,26.141979000385618,256.0,0.26106624286974084,0.0,12,12,13,13,13,14,14,14,26,26,26
Round Trip Time,devices-05034fcc-ff2c-40d1-be6a-d63a4ac5739d,199,0,24,23.69955466326872,21.39665399954538,38.729207999494975,256.0,0.26106624286974084,0.0,24,24,25,25,25,25,26,26,39,39,39
latência,devices-05034fcc-ff2c-40d1-be6a-d63a4ac5739d,199,0,12,12.008318492428145,9.768778000761813,27.767337000113912,256.0,0.26106624286974084,0.0,12,13,13,13,13,14,14,14,28,28,28
Round Trip Time,devices-2c67a9cb-7f6f-441d-9fbe-5d3b2150368d,199,0,23,23.453221678461325,21.146785000382806,39.83988599975419,256.0,0.26106624286974084,0.0,23,24,24,25,25,25,25,25,40,40,40
latência,devices-2c67a9cb-7f6f-441d-9fbe-5d3b2150368d,199,0,12,11.749439703580446,9.453931000280136,28.033288999722572,256.0,0.26106624286974084,0.0,12,12,13,13,13,14,14,14,28,28,28
Round Trip Time,devices-329bae66-3aa5-499e-8f65-70035755aa98,199,0,24,23.728244020107077,21.5763109999898,36.49651299929246,256.0,0.26106624286974084,0.0,24,24,25,25,25,26,26,26,36,36,36
latência,devices-329bae66-3aa5-499e-8f65-70035755aa98,199,0,12,12.048272080369202,9.909130000778532,24.901144999603275,256.0,0.26106624286974084,0.0,12,13,13,13,14,14,14,15,25,25,25
Round Trip Time,devices-3be9a2ab-5c83-479d-93cc-a91a75d48e57,199,0,24,23.56823069350693,21.066121000330895,39.571829000124126,256.0,0.26106624286974084,0.0,24,24,25,25,25,25,26,27,40,40,40
latência,devices-3be9a2ab-5c83-479d-93cc-a91a75d48e57,199,0,12,11.894468562818634,9.586683000634366,27.812563000225055,256.0,0.26106624286974084,0.0,12,12,13,13,13,14,14,19,28,28,28
Round Trip Time,devices-3db04175-1385-46a8-aaba-7f4ad8d2dd45,199,0,25,24.603410703527867,22.114970999609795,40.955233000204316,256.0,0.26106624286974084,0.0,25,25,26,26,26,26,27,30,41,41,41
latência,devices-3db04175-1385-46a8-aaba-7f4ad8d2dd45,199,0,13,12.912366432184587,10.388582999439677,29.27497400014545,256.0,0.26106624286974084,0.0,13,14,14,14,14,15,15,18,29,29,29
Round Trip Time,devices-42a7c9f7-b6dd-4007-aadc-8d28af1b446b,199,0,24,23.548012180931185,21.209605999501946,36.32357599963143,256.0,0.26106624286974084,0.0,24,24,24,25,25,25,26,26,36,36,36
latência,devices-42a7c9f7-b6dd-4007-aadc-8d28af1b446b,199,0,12,11.855467170835484,9.576402000675444,24.68848300031823,256.0,0.26106624286974084,0.0,12,12,13,13,13,14,14,14,25,25,25
Round Trip Time,devices-47eb3d89-8b79-4ae2-97aa-28bc1ce1ff81,199,0,24,23.995353899445217,21.65616999991471,61.163692000263836,256.0,0.26106624286974084,0.0,24,24,25,25,25,26,26,30,61,61,61
latência,devices-47eb3d89-8b79-4ae2-97aa-28bc1ce1ff81,199,0,12,12.288871075318424,9.762263998709386,32.55807799996546,256.0,0.26106624286974084,0.0,12,13,13,13,14,14,14,29,33,33,33
Round Trip Time,devices-4cfa2de8-9569-4c54-8f69-6c76a5a0d599,199,0,23,23.56634492462858,21.43278699986695,38.75250200053415,256.0,0.26106624286974084,0.0,23,24,24,25,25,25,26,27,39,39,39
latência,devices-4cfa2de8-9569-4c54-8f69-6c76a5a0d599,199,0,12,11.874440462346154,9.639272999265813,26.66808200046944,256.0,0.26106624286974084,0.0,12,12,13,13,13,14,14,14,27,27,27
Round Trip Time,devices-5257b9f2-051c-4e8e-90b3-ba7ecd8639d6,199,0,23,23.275341020080443,21.020294999289035,35.144748999300646,256.0,0.26106624286974084,0.0,23,24,24,24,25,25,25,26,35,35,35
latência,devices-5257b9f2-051c-4e8e-90b3-ba7ecd8639d6,199,0,12,11.610059527596439,9.4465450001735,23.466947000088112,256.0,0.26106624286974084,0.0,12,12,13,13,13,14,14,14,23,23,23
Round Trip Time,devices-5bf12cef-834d-4427-80e1-286468d2601e,199,0,23,23.461785562893915,21.173295001062797,37.92534100011835,256.0,0.26106624286974084,0.0,23,24,25,25,25,25,26,29,38,38,38
latência,devices-5bf12cef-834d-4427-80e1-286468d2601e,199,0,12,11.788598321621993,9.644364999985555,26.581037000141805,256.0,0.26106624286974084,0.0,12,12,13,13,13,14,14,17,27,27,27
Round Trip Time,devices-5ef9d2cd-bf16-45ea-bbeb-7df81f2fad47,199,0,24,24.75335374870681,22.177126000315184,79.89324499976647,256.0,0.26106624286974084,0.0,24,25,25,26,26,26,27,43,80,80,80
latência,devices-5ef9d2cd-bf16-45ea-bbeb-7df81f2fad47,199,0,13,12.919223482412002,10.44283400005952,39.837145999626955,256.0,0.26106624286974084,0.0,13,13,14,14,14,15,15,31,40,40,40
Round Trip Time,devices-5efead64-8c0c-49cd-b0fb-e5d93f718123,199,0,24,24.263258743669223,22.28817800005345,36.71187999952963,256.0,0.26106624286974084,0.0,24,25,25,25,26,26,26,27,37,37,37
latência,devices-5efead64-8c0c-49cd-b0fb-e5d93f718123,199,0,12,12.572970291426397,10.521803999836266,24.939197000094282,256.0,0.26106624286974084,0.0,12,13,13,14,14,14,15,16,25,25,25
Round Trip Time,devices-60c7f660-bc72-484f-893b-c95a5c8a1d10,199,0,23,23.497039040139224,21.236264000435767,49.83626099965477,256.0,0.26106624286974084,0.0,23,24,24,24,25,25,26,39,50,50,50
latência,devices-60c7f660-bc72-484f-893b-c95a5c8a1d10,199,0,12,11.743805577830999,9.514491999652819,26.21077799994964,256.0,0.26106624286974084,0.0,12,12,13,13,13,14,14,21,26,26,26
Round Trip Time,devices-6579b85a-02da-42d8-bc76-3a9d179246e3,199,0,24,23.7078238894433,21.31706000000122,38.943764000578085,256.0,0.26106624286974084,0.0,24,24,25,25,25,25,26,29,39,39,39
latência,devices-6579b85a-02da-42d8-bc76-3a9d179246e3,199,0,12,12.040036206046315,9.705700000267825,27.585014000578667,256.0,0.26106624286974084,0.0,12,13,13,13,13,14,14,17,28,28,28
Round Trip Time,devices-6f3756c2-2517-49b3-a4d0-323aabda1ff0,199,0,25,24.495135271353316,22.178158000315307,39.85483500036935,256.0,0.26106624286974084,0.0,25,25,25,26,26,26,26,27,40,40,40
latência,devices-6f3756c2-2517-49b3-a4d0-323aabda1ff0,199,0,13,12.790166035096144,10.426980999909574,28.106368999942788,256.0,0.26106624286974084,0.0,13,13,14,14,14,14,15,15,28,28,28
Round Trip Time,devices-73a7b2ae-bc5c-495b-a116-e7dc49ec2be4,199,0,24,23.53329551755195,21.126919999005622,36.26473399981478,256.0,0.26106624286974084,0.0,24,24,24,25,25,25,26,26,36,36,36
latência,devices-73a7b2ae-bc5c-495b-a116-e7dc49ec2be4,199,0,12,11.836902045195245,9.573208999427152,24.56795499983855,256.0,0.26106624286974084,0.0,12,12,13,13,13,14,14,14,25,25,25
Round Trip Time,devices-7aad6dee-7ab7-47cf-a46e-2683bf19b12c,199,0,24,23.480064462283785,20.999061000111396,35.37399200013169,256.0,0.26106624286974084,0.0,24,24,24,25,25,25,25,27,35,35,35
