Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Round Trip Time,devices-031c553e-0b35-41b8-996d-9cdf80161e15,199,0,23,23.416441005093617,21.304771998984506,37.15063399977225,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,25,26,37,37,37
latência,devices-031c553e-0b35-41b8-996d-9cdf80161e15,199,0,12,11.693680532758965,9.600348999811104,25.771306000024197,256.0,0.26582019808166607,0.0,12,12,13,13,13,14,14,14,26,26,26
Round Trip Time,devices-0cbf14d4-3bf4-4fa2-8e4f-ea6bd851b8de,199,0,23,23.47474815579704,21.014038000430446,35.616101000414346,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,25,28,36,36,36
latência,devices-0cbf14d4-3bf4-4fa2-8e4f-ea6bd851b8de,199,0,12,11.72208824620849,9.513852000964107,23.833629998989636,256.0,0.26582019808166607,0.0,12,12,13,13,13,13,14,15,24,24,24
Round Trip Time,devices-10036126-65b7-473b-9624-bd815ef32782,199,0,24,23.76058257789339,21.622768001179793,37.44265800014546,256.0,0.26582019808166607,0.0,24,24,25,25,25,26,26,26,37,37,37
latência,devices-10036126-65b7-473b-9624-bd815ef32782,199,0,12,11.999886070381635,9.940887999619008,25.620270998842898,256.0,0.26582019808166607,0.0,12,13,13,13,14,14,14,14,26,26,26
Round Trip Time,devices-153d9a3e-24f6-42a1-a727-7f6ec8e9dff0,199,0,24,23.58759821106274,21.08277899969835,26.924988998871413,256.0,0.26582019808166607,0.0,24,24,25,25,25,25,25,26,27,27,27
latência,devices-153d9a3e-24f6-42a1-a727-7f6ec8e9dff0,199,0,12,11.91787334668809,9.419863999937661,26.85451599973021,256.0,0.26582019808166607,0.0,12,13,13,13,13,14,14,14,27,27,27
Round Trip Time,devices-1d2eedce-bd27-410d-a533-d9d99dded99e,199,0,23,23.865609939678702,20.97751099972811,70.32711099964217,256.0,0.26582019808166607,0.0,23,24,25,25,25,25,26,63,70,70,70
latência,devices-1d2eedce-bd27-410d-a533-d9d99dded99e,199,0,12,11.915487999997927,9.271283000998665,58.265592000680044,256.0,0.26582019808166607,0.0,12,13,13,13,13,14,14,14,58,58,58
Round Trip Time,devices-21dc4215-21a9-414a-9923-89791c9b4c77,199,0,24,23.87129703016746,21.482255000591977,36.51249699942127,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,26,26,37,37,37
latência,devices-21dc4215-21a9-414a-9923-89791c9b4c77,199,0,12,12.134460758812136,9.739557999637327,25.527755000439356,256.0,0.26582019808166607,0.0,12,13,13,13,14,14,14,14,26,26,26
Round Trip Time,devices-21fa66b8-e46b-402f-9e9d-7a6c2807087f,199,0,23,23.414965613017046,21.353885998905753,37.43484300139244,256.0,0.26582019808166607,0.0,23,24,24,24,25,25,26,31,37,37,37
latência,devices-21fa66b8-e46b-402f-9e9d-7a6c2807087f,199,0,12,11.701939638158766,9.566689999701339,29.499410000425996,256.0,0.26582019808166607,0.0,12,12,13,13,13,13,14,20,29,29,29
Round Trip Time,devices-225d5fb5-af34-4429-9905-559cfaa5d3f2,199,0,24,24.35618205517994,22.156585000630002,38.24740999880305,256.0,0.26582019808166607,0.0,24,25,25,26,26,26,26,28,38,38,38
latência,devices-225d5fb5-af34-4429-9905-559cfaa5d3f2,199,0,13,12.60222239693233,10.348974001317401,26.681077999455738,256.0,0.26582019808166607,0.0,13,13,13,14,14,15,15,16,27,27,27
Round Trip Time,devices-248f9e4e-eec8-4ff0-9c2d-55d9a7822604,199,0,23,23.37337837177152,20.876456999758375,33.92018399972585,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,25,27,34,34,34
latência,devices-248f9e4e-eec8-4ff0-9c2d-55d9a7822604,199,0,12,11.628609422061446,9.29534200076887,22.12769300058426,256.0,0.26582019808166607,0.0,12,12,13,13,13,13,14,14,22,22,22
