Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Round Trip Time,devices-284c3393-24e1-4997-8559-67bbc1deae6f,199,0,23,23.35182090948237,21.26246700026968,35.4826389993832,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,25,25,35,35,35
latência,devices-284c3393-24e1-4997-8559-67bbc1deae6f,199,0,11,11.613082582981914,9.537051999359392,23.773687000357313,256.0,0.26582019808166607,0.0,11,12,13,13,13,13,14,14,24,24,24
Round Trip Time,devices-2f849e5d-4ea7-4069-9417-0cd1aa2c212d,199,0,24,23.728369804001286,21.555170000283397,29.1941819996282,256.0,0.26582019808166607,0.0,24,24,25,25,25,26,26,26,29,29,29
latência,devices-2f849e5d-4ea7-4069-9417-0cd1aa2c212d,199,0,12,12.063941030235345,10.113993001141353,29.00723899983859,256.0,0.26582019808166607,0.0,12,13,13,13,13,14,14,15,29,29,29
Round Trip Time,devices-311f2337-d7e5-4b0c-ba03-1e7d51868a9c,199,0,23,23.38650470852399,21.11216200137278,37.742624001111835,256.0,0.26582019808166607,0.0,23,24,24,24,25,25,25,25,38,38,38
latência,devices-311f2337-d7e5-4b0c-ba03-1e7d51868a9c,199,0,12,11.655928412099584,9.541272000205936,25.965593000364606,256.0,0.26582019808166607,0.0,12,12,13,13,13,13,14,14,26,26,26
Round Trip Time,devices-342c0173-64ca-4fe0-adc7-7bea8eda5ce5,199,0,23,23.35460064313882,20.83264499924553,37.5508830002218,256.0,0.26582019808166607,0.0,23,24,24,24,25,25,25,29,38,38,38
latência,devices-342c0173-64ca-4fe0-adc7-7bea8eda5ce5,199,0,11,11.65512036165075,9.463055001106113,25.604510999983177,256.0,0.26582019808166607,0.0,11,12,13,13,13,13,14,17,26,26,26
Round Trip Time,devices-358196e9-2909-4037-b1b6-c2d00aa1ad5e,199,0,24,23.68180489448701,21.345455999835394,26.50888700009091,256.0,0.26582019808166607,0.0,24,24,25,25,25,26,26,26,27,27,27
latência,devices-358196e9-2909-4037-b1b6-c2d00aa1ad5e,199,0,12,12.021721748891624,9.943029001078685,26.41787999891676,256.0,0.26582019808166607,0.0,12,12,13,13,14,14,14,14,26,26,26
Round Trip Time,devices-3621f2ec-d70a-4cd9-b86e-410976110bde,199,0,24,24.451029587903555,22.090438000304857,68.44474399986211,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,27,38,68,68,68
latência,devices-3621f2ec-d70a-4cd9-b86e-410976110bde,199,0,12,12.535751301442561,10.319474000425544,27.927835999435047,256.0,0.26582019808166607,0.0,12,13,13,14,14,14,15,16,28,28,28
Round Trip Time,devices-3f3495c5-c85d-4167-aec9-efc465cb7cf9,199,0,24,24.467909336640354,22.019748999809963,69.27278699913586,256.0,0.26582019808166607,0.0,24,25,25,26,26,26,26,39,69,69,69
latência,devices-3f3495c5-c85d-4167-aec9-efc465cb7cf9,199,0,12,12.499688221017017,10.32621400008793,26.66607900027884,256.0,0.26582019808166607,0.0,12,13,14,14,14,14,14,15,27,27,27
Round Trip Time,devices-45dffdc1-024e-4542-97c6-435218588575,199,0,23,23.499835683363397,21.27886100061005,38.288817999273306,256.0,0.26582019808166607,0.0,23,24,25,25,25,25,25,30,38,38,38
latência,devices-45dffdc1-024e-4542-97c6-435218588575,199,0,12,11.734786738655307,9.572217000823002,26.50349199939228,256.0,0.26582019808166607,0.0,12,12,13,13,13,14,14,14,27,27,27
Round Trip Time,devices-4607d43f-62c9-4eac-8574-d7999a3e8ed0,199,0,23,23.688579060236503,21.188464999795542,77.8864429994428,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,25,26,78,78,78
latência,devices-4607d43f-62c9-4eac-8574-d7999a3e8ed0,199,0,12,11.753978904480894,9.552215000439901,26.537355999607826,256.0,0.26582019808166607,0.0,12,12,13,13,13,14,14,14,27,27,27
Round Trip Time,devices-4775d8bc-0792-4275-abae-98ec9f54d8ed,199,0,24,23.774799673268735,21.69394900010957,27.46433900028933,256.0,0.26582019808166607,0.0,24,25,25,25,25,26,26,26,27,27,27
latência,devices-4775d8bc-0792-4275-abae-98ec9f54d8ed,199,0,12,12.096612492405713,9.907965999445878,27.263109001069097,256.0,0.26582019808166607,0.0,12,13,13,13,14,14,14,14,27,27,27
Round Trip Time,devices-50a7c67f-09e5-4309-a6d1-906b947e17af,199,0,23,23.352530467322204,21.081823000713484,39.638111000385834,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,25,28,40,40,40
latência,devices-50a7c67f-09e5-4309-a6d1-906b947e17af,199,0,12,11.690552869244422,9.477132000029087,39.44604699972842,256.0,0.26582019808166607,0.0,12,12,13,13,13,13,14,17,39,39,39
Round Trip Time,devices-51cf2cb9-123b-4e52-8662-ac49fc8626c9,199,0,24,23.930497075347393,21.66682999995828,29.313367000213475,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,26,27,29,29,29
latência,devices-51cf2cb9-123b-4e52-8662-ac49fc8626c9,199,0,12,12.25690529652675,9.915103999446728,29.13037100006477,256.0,0.26582019808166607,0.0,12,13,13,14,14,14,14,15,29,29,29
Round Trip Time,devices-52fd299e-a7cf-4e67-927b-fcc973774605,199,0,23,23.371256205965395,21.120725001310348,34.63049699894327,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,25,26,35,35,35
latência,devices-52fd299e-a7cf-4e67-927b-fcc973774605,199,0,11,11.653478808996319,9.428399998796522,22.61240000007092,256.0,0.26582019808166607,0.0,11,12,13,13,13,13,14,14,23,23,23
Round Trip Time,devices-532b9834-7965-4a13-9a1f-04464063d5de,199,0,23,23.35920391965945,21.209045999057707,33.85944899855531,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,25,26,34,34,34
latência,devices-532b9834-7965-4a13-9a1f-04464063d5de,199,0,12,11.628239195991013,9.444268998777261,22.388035999028943,256.0,0.26582019808166607,0.0,12,12,13,13,13,14,14,14,22,22,22
Round Trip Time,devices-54a29bde-764e-41da-bf68-9d29de18dc7d,199,0,24,24.266421180968724,22.096434999184567,39.488197000537184,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,26,26,39,39,39
latência,devices-54a29bde-764e-41da-bf68-9d29de18dc7d,199,0,13,12.532879206067186,10.341367000364698,28.88811299999361,256.0,0.26582019808166607,0.0,13,13,13,14,14,14,15,15,29,29,29
Round Trip Time,devices-555db9d4-d326-4294-9c3a-ec5c20deaaf3,199,0,24,24.246650090367325,21.98398699874815,39.86744500070927,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,26,26,40,40,40
latência,devices-555db9d4-d326-4294-9c3a-ec5c20deaaf3,199,0,13,12.518250060205006,10.382012998888968,27.885026000149082,256.0,0.26582019808166607,0.0,13,13,13,14,14,14,15,15,28,28,28
Round Trip Time,devices-5894d0bb-f8f7-4d50-b61a-c4c71b92d201,199,0,23,23.343384939748397,20.884039999145898,34.500481000577565,256.0,0.26582019808166607,0.0,23,24,24,24,25,25,25,25,35,35,35
latência,devices-5894d0bb-f8f7-4d50-b61a-c4c71b92d201,199,0,12,11.650633472335308,9.270386000935105,22.680299000057857,256.0,0.26582019808166607,0.0,12,12,12,13,13,13,14,14,23,23,23
Round Trip Time,devices-599f529b-98e8-409b-a039-3c98fc2f2ef9,199,0,24,24.315226472337333,22.10917199954565,37.95105999961379,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,26,26,38,38,38
latência,devices-599f529b-98e8-409b-a039-3c98fc2f2ef9,199,0,13,12.57088734658753,10.206410999671789,24.362471000131336,256.0,0.26582019808166607,0.0,13,13,13,14,14,14,15,15,24,24,24
Round Trip Time,devices-5a9d9e7d-ec8e-44be-b746-294e19380a28,199,0,23,23.40236724633007,21.098036000694265,34.53586800060293,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,25,25,35,35,35
latência,devices-5a9d9e7d-ec8e-44be-b746-294e19380a28,199,0,12,11.648083326667688,9.26744500065979,22.720094000760582,256.0,0.26582019808166607,0.0,12,12,13,13,13,13,14,14,23,23,23
Round Trip Time,devices-5b70bc48-3ec3-4bba-af8b-1d554b59b9ef,199,0,24,24.375206783944996,22.043353999833926,62.901019999117125,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,29,38,63,63,63
latência,devices-5b70bc48-3ec3-4bba-af8b-1d554b59b9ef,199,0,12,12.36865960297781,10.29363599991484,26.712857999882544,256.0,0.26582019808166607,0.0,12,13,13,13,14,14,15,16,27,27,27
Round Trip Time,devices-5e26b663-c620-46d0-af31-1d0c1de1517f,199,0,24,24.268799854207234,21.75582900053996,40.233698000520235,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,26,27,40,40,40
latência,devices-5e26b663-c620-46d0-af31-1d0c1de1517f,199,0,13,12.538107678395606,10.23679999889282,28.534835000755265,256.0,0.26582019808166607,0.0,13,13,13,14,14,14,15,16,29,29,29
Round Trip Time,devices-6179c8af-a9ba-4a30-93ae-65d66388477c,199,0,23,23.20193004013149,20.779644000867847,34.891440998762846,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,25,25,35,35,35
latência,devices-6179c8af-a9ba-4a30-93ae-65d66388477c,199,0,11,11.478216266254432,9.326139999757288,23.084372998710023,256.0,0.26582019808166607,0.0,11,12,13,13,13,13,14,14,23,23,23
Round Trip Time,devices-626596ef-9eab-4507-9245-6e86993ad049,199,0,23,23.31529460803064,21.12740499978827,37.05474399976083,256.0,0.26582019808166607,0.0,23,24,24,24,25,25,25,26,37,37,37
latência,devices-626596ef-9eab-4507-9245-6e86993ad049,199,0,12,11.616384703448425,9.488959000009345,28.814303999752156,256.0,0.26582019808166607,0.0,12,12,12,13,13,14,14,14,29,29,29
Round Trip Time,devices-62820741-0877-42e5-90d1-1f2b502af6b7,199,0,23,23.730999703542665,21.253468999930192,66.67416900017997,256.0,0.26582019808166607,0.0,23,24,25,25,25,25,26,37,67,67,67
latência,devices-62820741-0877-42e5-90d1-1f2b502af6b7,199,0,12,11.786716799032725,9.452092999708839,25.117288998444565,256.0,0.26582019808166607,0.0,12,12,13,13,13,14,14,14,25,25,25
Round Trip Time,devices-653ea84b-3ead-4bc5-b42f-7e34d7496f34,199,0,24,23.727205050224015,21.624936000080197,27.03746199949819,256.0,0.26582019808166607,0.0,24,24,25,25,25,26,26,26,27,27,27
latência,devices-653ea84b-3ead-4bc5-b42f-7e34d7496f34,199,0,12,12.043938708530964,9.716544000184513,26.956898998832912,256.0,0.26582019808166607,0.0,12,13,13,13,14,14,14,14,27,27,27
Round Trip Time,devices-661aea5f-fe58-42e1-be24-351b801b1069,199,0,23,23.28919943722587,20.955874000719632,34.6540520004055,256.0,0.26582019808166607,0.0,23,24,24,24,25,25,25,25,35,35,35
latência,devices-661aea5f-fe58-42e1-be24-351b801b1069,199,0,11,11.572867869340623,9.364108000227134,23.063833999913186,256.0,0.26582019808166607,0.0,11,12,13,13,13,14,14,16,23,23,23
Round Trip Time,devices-68be1336-9194-47c7-9232-cb9184697e18,199,0,24,24.3302482210754,21.677834000001894,39.163182000265806,256.0,0.26582019808166607,0.0,24,25,25,26,26,26,26,27,39,39,39
latência,devices-68be1336-9194-47c7-9232-cb9184697e18,199,0,13,12.605482849241854,10.20301000062318,27.03867399941373,256.0,0.26582019808166607,0.0,13,13,14,14,14,14,15,15,27,27,27
Round Trip Time,devices-69aad91c-abb7-447b-ac70-986cd96b9f5b,199,0,23,23.23503898991128,21.166901000469807,34.47291900010896,256.0,0.26582019808166607,0.0,23,24,24,24,25,25,25,31,34,34,34
latência,devices-69aad91c-abb7-447b-ac70-986cd96b9f5b,199,0,11,11.49587495470842,9.344149999378715,22.61430299950007,256.0,0.26582019808166607,0.0,11,12,12,13,13,13,14,20,23,23,23
Round Trip Time,devices-6dc44800-7a5b-416e-a2cb-967169190f00,199,0,24,23.883748648138443,21.458904000610346,38.01029100031883,256.0,0.26582019808166607,0.0,24,25,25,25,25,26,26,26,38,38,38
latência,devices-6dc44800-7a5b-416e-a2cb-967169190f00,199,0,12,12.164741814010071,9.860985999694094,26.719019000665867,256.0,0.26582019808166607,0.0,12,13,13,13,14,14,14,15,27,27,27
Round Trip Time,devices-705b404d-6998-4f06-9d9b-8802b3d97495,199,0,24,24.164801065418587,22.136875999422045,36.06468100042548,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,26,26,36,36,36
latência,devices-705b404d-6998-4f06-9d9b-8802b3d97495,199,0,12,12.460448482487658,10.43512400065083,26.573565000944654,256.0,0.26582019808166607,0.0,12,13,13,14,14,14,15,15,27,27,27
Round Trip Time,devices-7120d060-aec8-4013-b4d0-4c4a5f490e1d,199,0,23,23.374284231154412,21.02313000068534,37.89370999948005,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,25,26,38,38,38
latência,devices-7120d060-aec8-4013-b4d0-4c4a5f490e1d,199,0,11,11.642805668335638,9.469949000049382,25.424179000765434,256.0,0.26582019808166607,0.0,11,12,13,13,13,13,14,14,25,25,25
Round Trip Time,devices-725489ec-8435-4b64-925c-7e63eb39031c,199,0,23,23.514579618087517,21.18644999973185,63.54285199995502,256.0,0.26582019808166607,0.0,23,24,24,24,25,25,26,26,64,64,64
latência,devices-725489ec-8435-4b64-925c-7e63eb39031c,199,0,12,11.643733839150055,9.5743579986447,26.3576559991634,256.0,0.26582019808166607,0.0,12,12,12,13,13,13,14,14,26,26,26
Round Trip Time,devices-732ace61-52af-4e72-b6f3-9dd66daccd63,199,0,24,23.814517190973433,21.497918998647947,36.429831001441926,256.0,0.26582019808166607,0.0,24,24,25,25,25,26,26,26,36,36,36
latência,devices-732ace61-52af-4e72-b6f3-9dd66daccd63,199,0,12,12.088376472321448,9.842063000178314,25.389354001163156,256.0,0.26582019808166607,0.0,12,13,13,13,14,14,14,14,25,25,25
Round Trip Time,devices-753b785f-6e5e-4b28-aae0-9eb33af91773,199,0,24,23.80751763320491,21.623085000101128,29.844332000720897,256.0,0.26582019808166607,0.0,24,24,25,25,25,26,26,26,30,30,30
latência,devices-753b785f-6e5e-4b28-aae0-9eb33af91773,199,0,12,12.138790477342695,9.724716999699012,29.61785400111694,256.0,0.26582019808166607,0.0,12,13,13,13,14,14,14,14,30,30,30
Round Trip Time,devices-754f43fd-4f4c-4067-9b29-8786a8711380,199,0,24,24.299796346721493,21.8251930000406,36.20173999843246,256.0,0.26582019808166607,0.0,24,25,25,26,26,26,26,26,36,36,36
latência,devices-754f43fd-4f4c-4067-9b29-8786a8711380,199,0,13,12.592262618020516,10.263578999001766,26.72012199946039,256.0,0.26582019808166607,0.0,13,13,14,14,14,14,15,15,27,27,27
Round Trip Time,devices-76d3d5a8-7d7c-4211-8d20-c78afd69eb03,199,0,23,23.32871423118491,21.015741998780868,38.1688209999993,256.0,0.26582019808166607,0.0,23,24,24,24,25,25,25,26,38,38,38
latência,devices-76d3d5a8-7d7c-4211-8d20-c78afd69eb03,199,0,11,11.570343366834987,9.41977299953578,26.792938999278704,256.0,0.26582019808166607,0.0,11,12,13,13,13,13,14,14,27,27,27
Round Trip Time,devices-7f5203f6-bee8-4626-a84f-56757e1a9a04,199,0,24,24.21424150748524,22.004438998919795,41.69025699957274,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,27,39,42,42,42
latência,devices-7f5203f6-bee8-4626-a84f-56757e1a9a04,199,0,12,12.379792336758868,10.324503000447294,27.663786999255535,256.0,0.26582019808166607,0.0,12,13,13,13,14,14,15,15,28,28,28
Round Trip Time,devices-819406ff-b00b-46d4-a0b4-84c2980d10fd,199,0,23,23.319571733736666,20.905780998873524,36.38278200014611,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,26,26,36,36,36
latência,devices-819406ff-b00b-46d4-a0b4-84c2980d10fd,199,0,11,11.580184537738365,9.394534999955795,24.383661000683787,256.0,0.26582019808166607,0.0,11,12,13,13,13,13,14,14,24,24,24
Round Trip Time,devices-81ad4e5c-9cb8-46d7-aecb-4703a6635bda,199,0,24,24.190438135670618,22.125124000012875,38.31464699942444,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,26,26,38,38,38
latência,devices-81ad4e5c-9cb8-46d7-aecb-4703a6635bda,199,0,12,12.466042155814026,10.415225000542705,26.820450999366585,256.0,0.26582019808166607,0.0,12,13,13,14,14,14,15,15,27,27,27
Round Trip Time,devices-84460271-1e1d-475e-9935-718bd54c8d49,199,0,24,23.760894623149,21.415635999801452,39.043456001309096,256.0,0.26582019808166607,0.0,24,24,25,25,25,26,26,26,39,39,39
latência,devices-84460271-1e1d-475e-9935-718bd54c8d49,199,0,12,12.034947547792727,9.869414001514087,27.077778000602848,256.0,0.26582019808166607,0.0,12,13,13,13,14,14,14,14,27,27,27
Round Trip Time,devices-8651114a-2e85-4f35-9d25-af899c30555c,199,0,24,23.603325075476565,21.554863998971996,37.45647399955487,256.0,0.26582019808166607,0.0,24,24,25,25,25,25,26,26,37,37,37
latência,devices-8651114a-2e85-4f35-9d25-af899c30555c,199,0,12,11.876319452344593,9.774193000339437,28.964627999812365,256.0,0.26582019808166607,0.0,12,12,13,13,13,14,14,15,29,29,29
Round Trip Time,devices-8708efcf-6d49-4e96-aeba-f553dda8818e,199,0,23,23.528103467405934,21.170492998862755,37.495036000109394,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,26,26,37,37,37
latência,devices-8708efcf-6d49-4e96-aeba-f553dda8818e,199,0,12,11.803632949705394,9.59823400080495,25.89137300128641,256.0,0.26582019808166607,0.0,12,12,13,13,13,14,14,14,26,26,26
Round Trip Time,devices-882b808c-817d-4f88-8811-690d2ec881bf,199,0,23,23.56984659287154,21.188066000831896,35.280287000205135,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,26,31,35,35,35
latência,devices-882b808c-817d-4f88-8811-690d2ec881bf,199,0,12,11.836129391896298,9.661916999903042,24.240229999122676,256.0,0.26582019808166607,0.0,12,12,13,13,13,14,14,19,24,24,24
Round Trip Time,devices-8f17487c-6a5f-492f-8eb6-a2405149f1d0,199,0,24,24.27661944722475,22.003764999681152,41.98868700041203,256.0,0.26582019808166607,0.0,24,25,25,26,26,26,26,27,42,42,42
latência,devices-8f17487c-6a5f-492f-8eb6-a2405149f1d0,199,0,12,12.52968182412569,10.36413600013475,30.35272400120448,256.0,0.26582019808166607,0.0,12,13,14,14,14,14,15,15,30,30,30
Round Trip Time,devices-8fe1a7d4-02e9-48d3-b8a8-231c59a83bc4,199,0,23,23.53329512061007,21.242578999590478,37.84791500038409,256.0,0.26582019808166607,0.0,23,24,24,25,25,25,25,26,38,38,38
latência,devices-8fe1a7d4-02e9-48d3-b8a8-231c59a83bc4,199,0,12,11.770473120561666,9.418730998731917,25.61518200127466,256.0,0.26582019808166607,0.0,12,12,13,13,13,13,14,14,26,26,26
Round Trip Time,devices-9055fd35-a584-42e1-bba4-cd01544acbd1,199,0,24,24.17407649740948,21.896502999879885,37.968903001456056,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,26,27,38,38,38
latência,devices-9055fd35-a584-42e1-bba4-cd01544acbd1,199,0,12,12.448570165863897,10.459412000273005,27.374159000828513,256.0,0.26582019808166607,0.0,12,13,13,14,14,14,15,15,27,27,27
Round Trip Time,devices-93d37a0e-9e9b-418a-9e1e-aaf757fa0c54,199,0,24,23.831546517558035,21.306794000338414,40.68511100012984,256.0,0.26582019808166607,0.0,24,24,25,25,25,26,26,26,41,41,41
latência,devices-93d37a0e-9e9b-418a-9e1e-aaf757fa0c54,199,0,12,12.090305522558161,9.770250000656233,30.195766999895568,256.0,0.26582019808166607,0.0,12,13,13,13,14,14,14,15,30,30,30
Round Trip Time,devices-9547f661-7818-4a63-a586-d56aa9d9eaab,199,0,24,23.711325301377858,21.460792999278056,37.83279499839409,256.0,0.26582019808166607,0.0,24,24,25,25,25,26,26,26,38,38,38
latência,devices-9547f661-7818-4a63-a586-d56aa9d9eaab,199,0,12,11.96859580400384,9.819634000450606,25.761277000128757,256.0,0.26582019808166607,0.0,12,13,13,13,14,14,14,14,26,26,26
Round Trip Time,devices-9951ba30-a06a-4f1d-b318-a356c20e86b9,199,0,24,23.853244979871114,21.33378800135688,27.899402999537415,256.0,0.26582019808166607,0.0,24,24,25,25,25,26,26,26,28,28,28
latência,devices-9951ba30-a06a-4f1d-b318-a356c20e86b9,199,0,12,12.158841035117765,9.833056999923429,27.71701799974835,256.0,0.26582019808166607,0.0,12,13,13,13,13,14,14,14,28,28,28
Round Trip Time,devices-99ed9eb6-acfc-4f60-857a-107c7ca97e77,199,0,23,23.44664177388351,20.887823000521166,34.6615459984605,256.0,0.26582019808166607,0.0,23,24,25,25,25,25,25,27,35,35,35
latência,devices-99ed9eb6-acfc-4f60-857a-107c7ca97e77,199,0,12,11.70506170850941,9.561621000102605,22.974685998633504,256.0,0.26582019808166607,0.0,12,12,13,13,13,14,14,15,23,23,23
Round Trip Time,devices-a24a2c99-891b-4658-ab22-327ca533d920,199,0,24,23.50765545216476,21.08187799967709,36.07709399875603,256.0,0.26582019808166607,0.0,24,24,24,25,25,25,25,26,36,36,36
latência,devices-a24a2c99-891b-4658-ab22-327ca533d920,199,0,12,11.784979994998176,9.417287999895052,24.933751999924425,256.0,0.26582019808166607,0.0,12,13,13,13,13,13,14,14,25,25,25
Round Trip Time,devices-a68dfcf8-584b-49e1-bdec-3fe849a8320d,199,0,23,23.287428522551398,20.956672000465915,34.63739000108035,256.0,0.26582019808166607,0.0,23,24,24,24,25,25,25,25,35,35,35
latência,devices-a68dfcf8-584b-49e1-bdec-3fe849a8320d,199,0,12,11.548215507594538,9.406068000316736,22.8412020005635,256.0,0.26582019808166607,0.0,12,12,13,13,13,13,14,14,23,23,23
Round Trip Time,devices-a7aed238-c7c6-491c-8fa4-0fde22f2367b,199,0,24,24.195837608030203,21.947917999568745,38.14145900105359,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,26,28,38,38,38
latência,devices-a7aed238-c7c6-491c-8fa4-0fde22f2367b,199,0,12,12.453234934738115,10.375222000220674,26.507959999435116,256.0,0.26582019808166607,0.0,12,13,13,14,14,14,15,15,27,27,27
Round Trip Time,devices-aa9dc879-5b9c-4cc9-a45c-f4ca74511e2f,199,0,24,24.264707995021652,22.06688299884263,38.491010998768616,256.0,0.26582019808166607,0.0,24,25,25,25,26,26,26,27,38,38,38
latência,devices-aa9dc879-5b9c-4cc9-a45c-f4ca74511e2f,199,0,12,12.512881527657752,10.243282000374165,26.445120998687344,256.0,0.26582019808166607,0.0,12,13,13,14,14,14,14,15,26,26,26
Round Trip Time,devices-acd1b2b9-6ea4-48d7-9fd0-6c9cd298ab85,199,0,24,24.464286753759573,22.052304000681033,38.16621599980863,256.0,0.26582019808166607,0.0,24,25,25,26,26,26,27,32,38,38,38
latência,devices-acd1b2b9-6ea4-48d7-9fd0-6c9cd298ab85,199,0,13,12.689834356778325,10.42137300100876,26.63496999957715,256.0,0.26582019808166607,0.0,13,13,14,14,14,14,15,16,27,27,27
Round Trip Time,devices-afa37744-11e4-4362-85f4-81feee8a512e,199,0,24,23.488785552761318,21.057900999949197,33.597002000533394,256.0,0.26582019808166607,0.0,24,24,24,25,25,25,25,26,34,34,34
latência,devices-afa37744-11e4-4362-85f4-81feee8a512e,199,0,12,11.733300296474049,9.49207200028468,21.52548400044907,256.0,0.26582019808166607,0.0,12,12,13,13,13,13,14,14,22,22,22
Round Trip Time,devices-b1e5d9e5-d272-4340-9e5e-8eb510955457,199,0,24,24.457453904532617,22.071899000366102,39.771002000634326,256.0,0.26582019808166607,0.0,24,25,25,26,26,26,26,31,40,40,40
latência,devices-b1e5d9e5-d272-4340-9e5e-8eb510955457,199,0,13,12.73187783922207,10.369259000071906,28.606370000488823,256.0,0.26582019808166607,0.0,13,13,14,14,14,14,15,21,29,29,29
