"No.","Time","Source","Destination","Protocol","Length","Source Port","Message Identifier","Destination Port","Info"
"256399","2303.411356549","192.168.15.8","130.185.238.170","MQTT","89","37665","","1883","Connect Command"
"256401","2303.491091896","192.168.15.8","130.185.238.170","MQTT","103","37665","1,2","1883","Subscribe Request (id=1) [devices-1], Publish Message (id=2) [devices-1]"
"256402","2303.491058330","130.185.238.170","192.168.15.8","MQTT","70","1883","","37665","Connect Ack"
"256405","2303.570350769","130.185.238.170","192.168.15.8","MQTT","71","1883","1","37665","Subscribe Ack (id=1)"
"256407","2303.650380435","130.185.238.170","192.168.15.8","MQTT","89","1883","2","37665","Publish Message [devices-1], Publish Ack (id=2)"
"256471","2307.359165791","192.168.15.8","130.185.238.170","MQTT","87","37665","3","1883","Publish Message (id=3) [devices-1]"
"256473","2307.438374067","130.185.238.170","192.168.15.8","MQTT","85","1883","","37665","Publish Message [devices-1]"
"256475","2307.518451994","130.185.238.170","192.168.15.8","MQTT","70","1883","3","37665","Publish Ack (id=3)"
"256593","2312.077159224","192.168.15.8","130.185.238.170","MQTT","87","37665","4","1883","Publish Message (id=4) [devices-1]"
"256595","2312.158468753","130.185.238.170","192.168.15.8","MQTT","85","1883","","37665","Publish Message [devices-1]"
"256598","2312.238383405","130.185.238.170","192.168.15.8","MQTT","70","1883","4","37665","Publish Ack (id=4)"
"256690","2317.926066571","192.168.15.8","130.185.238.170","MQTT","87","37665","5","1883","Publish Message (id=5) [devices-1]"
"256692","2318.006726351","130.185.238.170","192.168.15.8","MQTT","85","1883","","37665","Publish Message [devices-1]"
"256696","2318.086510352","130.185.238.170","192.168.15.8","MQTT","70","1883","5","37665","Publish Ack (id=5)"
"257328","2323.049267794","192.168.15.8","130.185.238.170","MQTT","87","37665","6","1883","Publish Message (id=6) [devices-1]"
"257329","2323.130828022","130.185.238.170","192.168.15.8","MQTT","85","1883","","37665","Publish Message [devices-1]"
"257331","2323.210549718","130.185.238.170","192.168.15.8","MQTT","70","1883","6","37665","Publish Ack (id=6)"
"257381","2326.961367153","192.168.15.8","130.185.238.170","MQTT","87","37665","7","1883","Publish Message (id=7) [devices-1]"
"257408","2327.042684661","130.185.238.170","192.168.15.8","MQTT","85","1883","","37665","Publish Message [devices-1]"
"257410","2327.122620622","130.185.238.170","192.168.15.8","MQTT","70","1883","7","37665","Publish Ack (id=7)"
"257478","2331.539454687","192.168.15.8","130.185.238.170","MQTT","87","37665","8","1883","Publish Message (id=8) [devices-1]"
"257481","2331.618739363","130.185.238.170","192.168.15.8","MQTT","85","1883","","37665","Publish Message [devices-1]"
"257483","2331.698733972","130.185.238.170","192.168.15.8","MQTT","70","1883","8","37665","Publish Ack (id=8)"
"257553","2334.996900578","192.168.15.8","130.185.238.170","MQTT","87","37665","9","1883","Publish Message (id=9) [devices-1]"
"257554","2335.074825469","130.185.238.170","192.168.15.8","MQTT","85","1883","","37665","Publish Message [devices-1]"
"257561","2335.154694126","130.185.238.170","192.168.15.8","MQTT","70","1883","9","37665","Publish Ack (id=9)"
"257647","2339.096052321","192.168.15.8","130.185.238.170","MQTT","87","37665","10","1883","Publish Message (id=10) [devices-1]"
"257648","2339.174999747","130.185.238.170","192.168.15.8","MQTT","85","1883","","37665","Publish Message [devices-1]"
"257650","2339.254851703","130.185.238.170","192.168.15.8","MQTT","70","1883","10","37665","Publish Ack (id=10)"
"257758","2343.575129341","192.168.15.8","130.185.238.170","MQTT","87","37665","11","1883","Publish Message (id=11) [devices-1]"
"257759","2343.655165082","130.185.238.170","192.168.15.8","MQTT","85","1883","","37665","Publish Message [devices-1]"
"257761","2343.734841377","130.185.238.170","192.168.15.8","MQTT","70","1883","11","37665","Publish Ack (id=11)"
"257806","2347.547052552","192.168.15.8","130.185.238.170","MQTT","87","37665","12","1883","Publish Message (id=12) [devices-1]"
"257807","2347.627483601","130.185.238.170","192.168.15.8","MQTT","85","1883","","37665","Publish Message [devices-1]"
