"No.","Time","Source","Destination","Protocol","Length","Source Port","Message Identifier","Destination Port","Info"
"89","11.096193215","192.168.15.8","130.185.238.170","MQTT","89","58781","","1883","Connect Command"
"91","11.172040812","130.185.238.170","192.168.15.8","MQTT","70","1883","","58781","Connect Ack"
"92","11.172076552","192.168.15.8","130.185.238.170","MQTT","103","58781","1,2","1883","Subscribe Request (id=1) [devices-1], Publish Message (id=2) [devices-1]"
"94","11.247473507","130.185.238.170","192.168.15.8","MQTT","71","1883","1","58781","Subscribe Ack (id=1)"
"99","11.323609108","130.185.238.170","192.168.15.8","MQTT","89","1883","2","58781","Publish Message [devices-1], Publish Ack (id=2)"
"114","12.101493581","192.168.15.8","130.185.238.170","MQTT","89","47491","","1883","Connect Command"
"116","12.185367120","130.185.238.170","192.168.15.8","MQTT","70","1883","","47491","Connect Ack"
"117","12.185400947","192.168.15.8","130.185.238.170","MQTT","103","47491","1,2","1883","Subscribe Request (id=1) [devices-2], Publish Message (id=2) [devices-2]"
"122","12.268636011","130.185.238.170","192.168.15.8","MQTT","71","1883","1","47491","Subscribe Ack (id=1)"
"124","12.348652843","130.185.238.170","192.168.15.8","MQTT","89","1883","2","47491","Publish Message [devices-2], Publish Ack (id=2)"
"139","13.100999464","192.168.15.8","130.185.238.170","MQTT","89","45027","","1883","Connect Command"
"141","13.187795062","130.185.238.170","192.168.15.8","MQTT","70","1883","","45027","Connect Ack"
"142","13.187828424","192.168.15.8","130.185.238.170","MQTT","103","45027","1,2","1883","Subscribe Request (id=1) [devices-3], Publish Message (id=2) [devices-3]"
"148","13.268227575","130.185.238.170","192.168.15.8","MQTT","71","1883","1","45027","Subscribe Ack (id=1)"
"151","13.348152748","130.185.238.170","192.168.15.8","MQTT","89","1883","2","45027","Publish Message [devices-3], Publish Ack (id=2)"
"167","14.096808897","192.168.15.8","130.185.238.170","MQTT","89","44381","","1883","Connect Command"
"169","14.172651925","130.185.238.170","192.168.15.8","MQTT","70","1883","","44381","Connect Ack"
"170","14.172688530","192.168.15.8","130.185.238.170","MQTT","103","44381","1,2","1883","Subscribe Request (id=1) [devices-4], Publish Message (id=2) [devices-4]"
"173","14.248334807","130.185.238.170","192.168.15.8","MQTT","71","1883","1","44381","Subscribe Ack (id=1)"
"178","14.324087130","130.185.238.170","192.168.15.8","MQTT","89","1883","2","44381","Publish Message [devices-4], Publish Ack (id=2)"
"182","14.377810608","192.168.15.8","130.185.238.170","MQTT","87","58781","3","1883","Publish Message (id=3) [devices-1]"
"186","14.455428573","130.185.238.170","192.168.15.8","MQTT","85","1883","","58781","Publish Message [devices-1]"
"188","14.531331970","130.185.238.170","192.168.15.8","MQTT","70","1883","3","58781","Publish Ack (id=3)"
"202","15.102188250","192.168.15.8","130.185.238.170","MQTT","89","35699","","1883","Connect Command"
"203","15.139419245","192.168.15.8","130.185.238.170","MQTT","87","45027","3","1883","Publish Message (id=3) [devices-3]"
