Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Round Trip Time,devices-031454d1-30c2-4f2d-b9af-8ab07bb1bde7,199,0,24,23.600408688445036,21.153536999918288,35.85010900042107,256.0,0.27023818699275104,0.0,24,24,25,25,25,25,26,26,36,36,36
latência,devices-031454d1-30c2-4f2d-b9af-8ab07bb1bde7,199,0,12,11.922106924640644,9.519330000330228,23.482430000512977,256.0,0.27023818699275104,0.0,12,12,13,13,13,14,14,14,23,23,23
Round Trip Time,devices-096549b8-c446-4be4-846b-5dc4d0afc86e,199,0,24,24.035355105521585,21.638461999827996,34.55225500056258,256.0,0.27023818699275104,0.0,24,24,25,25,25,26,27,34,35,35,35
latência,devices-096549b8-c446-4be4-846b-5dc4d0afc86e,199,0,12,12.291120989943211,10.056649000034668,23.05302400054643,256.0,0.27023818699275104,0.0,12,13,13,13,14,14,15,16,23,23,23
Round Trip Time,devices-100714b9-ea3e-45c6-b02a-036a48575850,199,0,24,24.564023567872205,22.253744999943592,36.34993499963457,256.0,0.27023818699275104,0.0,24,25,25,26,26,26,29,32,36,36,36
latência,devices-100714b9-ea3e-45c6-b02a-036a48575850,199,0,13,12.869556819104808,10.64397300069686,24.35924299970793,256.0,0.27023818699275104,0.0,13,13,14,14,14,15,15,17,24,24,24
Round Trip Time,devices-239057af-75fc-4254-84e8-6ac90d95972d,199,0,23,23.700144753760167,21.197426000071573,62.2349410004972,256.0,0.27023818699275104,0.0,23,24,24,25,25,25,26,36,62,62,62
latência,devices-239057af-75fc-4254-84e8-6ac90d95972d,199,0,12,11.821371698459728,9.575238000252284,24.510014999577834,256.0,0.27023818699275104,0.0,12,12,13,13,13,14,14,16,25,25,25
Round Trip Time,devices-2cdfdbf7-3632-4de1-83f3-1d307e813765,199,0,24,23.769095939703345,21.2109940002847,42.09259200069937,256.0,0.27023818699275104,0.0,24,24,25,25,25,25,27,36,42,42,42
latência,devices-2cdfdbf7-3632-4de1-83f3-1d307e813765,199,0,12,12.00088100002213,9.665976999713166,24.01415599979373,256.0,0.27023818699275104,0.0,12,13,13,13,14,14,15,21,24,24,24
Round Trip Time,devices-3385dde9-98ba-4c0b-b586-70d4f05f1a73,199,0,24,24.083639140668886,21.808312999382906,35.25425099996937,256.0,0.27023818699275104,0.0,24,25,25,25,26,26,26,32,35,35,35
latência,devices-3385dde9-98ba-4c0b-b586-70d4f05f1a73,199,0,12,12.393584090428913,9.988619999603543,23.88256900030683,256.0,0.27023818699275104,0.0,12,13,13,14,14,14,14,17,24,24,24
Round Trip Time,devices-363f622d-4add-4e75-9b71-c81d66119ef1,199,0,24,23.808276547695176,21.67501700023422,34.79432899985113,256.0,0.27023818699275104,0.0,24,24,25,25,25,26,26,30,35,35,35
latência,devices-363f622d-4add-4e75-9b71-c81d66119ef1,199,0,12,12.126734075335566,10.045783999885316,23.295418999623507,256.0,0.27023818699275104,0.0,12,13,13,13,14,14,14,14,23,23,23
Round Trip Time,devices-4f4dbb6b-c02e-463d-b30c-876f66da3213,199,0,23,23.369999849234578,21.03943200017966,36.67980299996998,256.0,0.27023818699275104,0.0,23,24,24,24,25,25,25,26,37,37,37
latência,devices-4f4dbb6b-c02e-463d-b30c-876f66da3213,199,0,12,11.72425665326635,9.646860000430024,24.700723000023572,256.0,0.27023818699275104,0.0,12,12,13,13,13,14,14,14,25,25,25
