"No.","Time","Source","Destination","Protocol","Length","Source Port","Message Identifier","Destination Port","Info"
"648","31.164901520","130.185.238.170","192.168.15.8","MQTT","70","1883","4","59943","Publish Ack (id=4)"
"650","31.167618691","130.185.238.170","192.168.15.8","MQTT","70","1883","5","55897","Publish Ack (id=5)"
"652","31.237745765","192.168.15.8","130.185.238.170","MQTT","338","58693","6","1883","Publish Message (id=6) [devices-2]"
"653","31.314411396","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"655","31.390282230","130.185.238.170","192.168.15.8","MQTT","70","1883","6","58693","Publish Ack (id=6)"
"659","31.831399391","192.168.15.8","130.185.238.170","MQTT","338","45035","5","1883","Publish Message (id=5) [devices-3]"
"660","31.875056332","192.168.15.8","130.185.238.170","MQTT","338","55567","4","1883","Publish Message (id=4) [devices-5]"
"661","31.908839379","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"663","31.952808972","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
"665","31.984734719","130.185.238.170","192.168.15.8","MQTT","70","1883","5","45035","Publish Ack (id=5)"
"667","32.028749866","130.185.238.170","192.168.15.8","MQTT","70","1883","4","55567","Publish Ack (id=4)"
"669","32.588292803","192.168.15.8","130.185.238.170","MQTT","338","59943","5","1883","Publish Message (id=5) [devices-4]"
"670","32.664963935","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"672","32.740792505","130.185.238.170","192.168.15.8","MQTT","70","1883","5","59943","Publish Ack (id=5)"
"680","33.000958073","192.168.15.8","130.185.238.170","MQTT","338","45035","6","1883","Publish Message (id=6) [devices-3]"
"681","33.076951601","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"684","33.152713156","130.185.238.170","192.168.15.8","MQTT","70","1883","6","45035","Publish Ack (id=6)"
