"No.","Time","Source","Destination","Protocol","Length","Source Port","Message Identifier","Destination Port","Info"
"27","2.912367572","192.168.15.8","130.185.238.170","MQTT","89","59595","","1883","Connect Command"
"31","2.992240401","192.168.15.8","130.185.238.170","MQTT","103","59595","1,2","1883","Subscribe Request (id=1) [devices-1], Publish Message (id=2) [devices-1]"
"32","2.992206138","130.185.238.170","192.168.15.8","MQTT","70","1883","","59595","Connect Ack"
"35","3.071512320","130.185.238.170","192.168.15.8","MQTT","71","1883","1","59595","Subscribe Ack (id=1)"
"37","3.151560087","130.185.238.170","192.168.15.8","MQTT","89","1883","2","59595","Publish Message [devices-1], Publish Ack (id=2)"
"47","3.911423347","192.168.15.8","130.185.238.170","MQTT","89","39995","","1883","Connect Command"
"49","3.990094899","192.168.15.8","130.185.238.170","MQTT","103","39995","1,2","1883","Subscribe Request (id=1) [devices-2], Publish Message (id=2) [devices-2]"
"50","3.990064257","130.185.238.170","192.168.15.8","MQTT","70","1883","","39995","Connect Ack"
"53","4.065645117","130.185.238.170","192.168.15.8","MQTT","71","1883","1","39995","Subscribe Ack (id=1)"
"55","4.141461681","130.185.238.170","192.168.15.8","MQTT","89","1883","2","39995","Publish Message [devices-2], Publish Ack (id=2)"
"68","4.915497804","192.168.15.8","130.185.238.170","MQTT","89","32823","","1883","Connect Command"
"70","4.999279279","192.168.15.8","130.185.238.170","MQTT","103","32823","1,2","1883","Subscribe Request (id=1) [devices-3], Publish Message (id=2) [devices-3]"
"71","4.999245790","130.185.238.170","192.168.15.8","MQTT","70","1883","","32823","Connect Ack"
"76","5.082749757","130.185.238.170","192.168.15.8","MQTT","71","1883","1","32823","Subscribe Ack (id=1)"
"78","5.162648070","130.185.238.170","192.168.15.8","MQTT","89","1883","2","32823","Publish Message [devices-3], Publish Ack (id=2)"
"80","5.235317509","192.168.15.8","130.185.238.170","MQTT","87","39995","3","1883","Publish Message (id=3) [devices-2]"
"82","5.313399220","130.185.238.170","192.168.15.8","MQTT","85","1883","","39995","Publish Message [devices-2]"
"86","5.389315743","130.185.238.170","192.168.15.8","MQTT","70","1883","3","39995","Publish Ack (id=3)"
"95","5.909839954","192.168.15.8","130.185.238.170","MQTT","89","59039","","1883","Connect Command"
"96","5.970654044","192.168.15.8","130.185.238.170","MQTT","87","59595","3","1883","Publish Message (id=3) [devices-1]"
"98","5.986095837","192.168.15.8","130.185.238.170","MQTT","103","59039","1,2","1883","Subscribe Request (id=1) [devices-4], Publish Message (id=2) [devices-4]"
"99","5.986064258","130.185.238.170","192.168.15.8","MQTT","70","1883","","59039","Connect Ack"
"102","6.047674991","130.185.238.170","192.168.15.8","MQTT","85","1883","","59595","Publish Message [devices-1]"
"105","6.060969157","130.185.238.170","192.168.15.8","MQTT","71","1883","1","59039","Subscribe Ack (id=1)"
"107","6.127647450","130.185.238.170","192.168.15.8","MQTT","70","1883","3","59595","Publish Ack (id=3)"
"109","6.137026300","130.185.238.170","192.168.15.8","MQTT","89","1883","2","59039","Publish Message [devices-4], Publish Ack (id=2)"
"115","6.916859925","192.168.15.8","130.185.238.170","MQTT","89","44115","","1883","Connect Command"
"118","6.996626812","192.168.15.8","130.185.238.170","MQTT","103","44115","1,2","1883","Subscribe Request (id=1) [devices-5], Publish Message (id=2) [devices-5]"
"119","6.996593190","130.185.238.170","192.168.15.8","MQTT","70","1883","","44115","Connect Ack"
"123","7.076021134","130.185.238.170","192.168.15.8","MQTT","71","1883","1","44115","Subscribe Ack (id=1)"
"132","7.155934601","130.185.238.170","192.168.15.8","MQTT","89","1883","2","44115","Publish Message [devices-5], Publish Ack (id=2)"
"140","7.581354131","192.168.15.8","130.185.238.170","MQTT","87","59595","4","1883","Publish Message (id=4) [devices-1]"
"142","7.659575927","130.185.238.170","192.168.15.8","MQTT","85","1883","","59595","Publish Message [devices-1]"
"144","7.739610721","130.185.238.170","192.168.15.8","MQTT","70","1883","4","59595","Publish Ack (id=4)"
"152","8.656994705","192.168.15.8","130.185.238.170","MQTT","87","32823","3","1883","Publish Message (id=3) [devices-3]"
"154","8.738596165","130.185.238.170","192.168.15.8","MQTT","85","1883","","32823","Publish Message [devices-3]"
"156","8.818587498","130.185.238.170","192.168.15.8","MQTT","70","1883","3","32823","Publish Ack (id=3)"
"165","9.093535936","192.168.15.8","130.185.238.170","MQTT","87","59039","3","1883","Publish Message (id=3) [devices-4]"
"168","9.169133701","130.185.238.170","192.168.15.8","MQTT","85","1883","","59039","Publish Message [devices-4]"
"183","9.245141747","130.185.238.170","192.168.15.8","MQTT","70","1883","3","59039","Publish Ack (id=3)"
"194","10.719394304","192.168.15.8","130.185.238.170","MQTT","87","39995","4","1883","Publish Message (id=4) [devices-2]"
"196","10.797450187","130.185.238.170","192.168.15.8","MQTT","85","1883","","39995","Publish Message [devices-2]"
"199","10.873503221","130.185.238.170","192.168.15.8","MQTT","70","1883","4","39995","Publish Ack (id=4)"
"201","11.196506821","192.168.15.8","130.185.238.170","MQTT","87","59595","5","1883","Publish Message (id=5) [devices-1]"
"202","11.275727126","130.185.238.170","192.168.15.8","MQTT","85","1883","","59595","Publish Message [devices-1]"
"206","11.355613000","130.185.238.170","192.168.15.8","MQTT","70","1883","5","59595","Publish Ack (id=5)"
"214","11.659065091","192.168.15.8","130.185.238.170","MQTT","87","32823","4","1883","Publish Message (id=4) [devices-3]"
"218","11.742615383","130.185.238.170","192.168.15.8","MQTT","85","1883","","32823","Publish Message [devices-3]"
"220","11.822586618","130.185.238.170","192.168.15.8","MQTT","70","1883","4","32823","Publish Ack (id=4)"
"227","12.541620152","192.168.15.8","130.185.238.170","MQTT","87","44115","3","1883","Publish Message (id=3) [devices-5]"
"229","12.620000627","130.185.238.170","192.168.15.8","MQTT","85","1883","","44115","Publish Message [devices-5]"
"231","12.700311611","130.185.238.170","192.168.15.8","MQTT","70","1883","3","44115","Publish Ack (id=3)"
"234","13.018500993","192.168.15.8","130.185.238.170","MQTT","87","39995","5","1883","Publish Message (id=5) [devices-2]"
"235","13.093621660","130.185.238.170","192.168.15.8","MQTT","85","1883","","39995","Publish Message [devices-2]"
"237","13.169597730","130.185.238.170","192.168.15.8","MQTT","70","1883","5","39995","Publish Ack (id=5)"
"244","14.535240554","192.168.15.8","130.185.238.170","MQTT","87","32823","5","1883","Publish Message (id=5) [devices-3]"
"249","14.618830524","130.185.238.170","192.168.15.8","MQTT","85","1883","","32823","Publish Message [devices-3]"
"252","14.698437558","130.185.238.170","192.168.15.8","MQTT","70","1883","5","32823","Publish Ack (id=5)"
