"No.","Time","Source","Destination","Protocol","Length","Source Port","Message Identifier","Destination Port","Info"
"446","38.552637817","192.168.15.8","130.185.238.170","MQTT","89","60295","","1883","Connect Command"
"448","38.632290974","192.168.15.8","130.185.238.170","MQTT","103","60295","1,2","1883","Subscribe Request (id=1) [devices-1], Publish Message (id=2) [devices-1]"
"449","38.632257550","130.185.238.170","192.168.15.8","MQTT","70","1883","","60295","Connect Ack"
"452","38.709168051","130.185.238.170","192.168.15.8","MQTT","71","1883","1","60295","Subscribe Ack (id=1)"
"456","38.787790160","130.185.238.170","192.168.15.8","MQTT","89","1883","2","60295","Publish Message [devices-1], Publish Ack (id=2)"
"471","39.560102874","192.168.15.8","130.185.238.170","MQTT","89","42707","","1883","Connect Command"
"473","39.639834602","192.168.15.8","130.185.238.170","MQTT","103","42707","1,2","1883","Subscribe Request (id=1) [devices-2], Publish Message (id=2) [devices-2]"
"474","39.639814066","130.185.238.170","192.168.15.8","MQTT","70","1883","","42707","Connect Ack"
"479","39.719250341","130.185.238.170","192.168.15.8","MQTT","71","1883","1","42707","Subscribe Ack (id=1)"
"483","39.799782699","130.185.238.170","192.168.15.8","MQTT","89","1883","2","42707","Publish Message [devices-2], Publish Ack (id=2)"
"494","40.556117331","192.168.15.8","130.185.238.170","MQTT","89","39557","","1883","Connect Command"
"496","40.632100382","192.168.15.8","130.185.238.170","MQTT","103","39557","1,2","1883","Subscribe Request (id=1) [devices-3], Publish Message (id=2) [devices-3]"
"497","40.632067099","130.185.238.170","192.168.15.8","MQTT","70","1883","","39557","Connect Ack"
"500","40.707492976","130.185.238.170","192.168.15.8","MQTT","71","1883","1","39557","Subscribe Ack (id=1)"
"502","40.783404825","130.185.238.170","192.168.15.8","MQTT","89","1883","2","39557","Publish Message [devices-3], Publish Ack (id=2)"
"519","41.559229277","192.168.15.8","130.185.238.170","MQTT","89","42337","","1883","Connect Command"
"525","41.639076461","192.168.15.8","130.185.238.170","MQTT","103","42337","1,2","1883","Subscribe Request (id=1) [devices-4], Publish Message (id=2) [devices-4]"
"526","41.639029645","130.185.238.170","192.168.15.8","MQTT","70","1883","","42337","Connect Ack"
"531","41.718718151","130.185.238.170","192.168.15.8","MQTT","71","1883","1","42337","Subscribe Ack (id=1)"
"533","41.798667460","130.185.238.170","192.168.15.8","MQTT","89","1883","2","42337","Publish Message [devices-4], Publish Ack (id=2)"
"543","42.553915052","192.168.15.8","130.185.238.170","MQTT","89","40831","","1883","Connect Command"
"545","42.630056302","192.168.15.8","130.185.238.170","MQTT","103","40831","1,2","1883","Subscribe Request (id=1) [devices-5], Publish Message (id=2) [devices-5]"
"546","42.630025773","130.185.238.170","192.168.15.8","MQTT","70","1883","","40831","Connect Ack"
"549","42.705168735","130.185.238.170","192.168.15.8","MQTT","71","1883","1","40831","Subscribe Ack (id=1)"
"551","42.781205475","130.185.238.170","192.168.15.8","MQTT","89","1883","2","40831","Publish Message [devices-5], Publish Ack (id=2)"
"561","43.564055882","192.168.15.8","130.185.238.170","MQTT","89","45863","","1883","Connect Command"
"563","43.643936865","192.168.15.8","130.185.238.170","MQTT","103","45863","1,2","1883","Subscribe Request (id=1) [devices-6], Publish Message (id=2) [devices-6]"
"564","43.643906291","130.185.238.170","192.168.15.8","MQTT","70","1883","","45863","Connect Ack"
"567","43.723224687","130.185.238.170","192.168.15.8","MQTT","71","1883","1","45863","Subscribe Ack (id=1)"
"569","43.803227979","130.185.238.170","192.168.15.8","MQTT","89","1883","2","45863","Publish Message [devices-6], Publish Ack (id=2)"
"571","44.044335245","192.168.15.8","130.185.238.170","MQTT","87","60295","3","1883","Publish Message (id=3) [devices-1]"
"573","44.119556129","130.185.238.170","192.168.15.8","MQTT","85","1883","","60295","Publish Message [devices-1]"
"575","44.195682863","130.185.238.170","192.168.15.8","MQTT","70","1883","3","60295","Publish Ack (id=3)"
