"No.","Time","Source","Destination","Protocol","Length","Message Type","Destination Port","Source Port","Message","Message Identifier","Info"
"13024","636.635962621","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","36811","1883","","180","Publish Ack (id=180)"
"13032","637.914172021","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","39299","7b276d657373616765273a202770454442477461714e585435487255746354536f675567â\200\246","179","Publish Message (id=179) [devices-4075e2f4-7024-4263-ae05-f737afd0b351]"
"13033","637.923813459","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","39299","1883","7b276d657373616765273a202770454442477461714e585435487255746354536f675567â\200\246","","Publish Message [devices-4075e2f4-7024-4263-ae05-f737afd0b351]"
"13035","637.935633155","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","39299","1883","","179","Publish Ack (id=179)"
"13037","637.942383986","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","33099","7b276d657373616765273a202750333868744444664c6d6a755441534d69657a56584f37â\200\246","167","Publish Message (id=167) [devices-5c20c22c-46a6-4468-9311-3709d7a36f2a]"
"13038","637.951627951","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","33099","1883","7b276d657373616765273a202750333868744444664c6d6a755441534d69657a56584f37â\200\246","","Publish Message [devices-5c20c22c-46a6-4468-9311-3709d7a36f2a]"
"13040","637.963487812","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","33099","1883","","167","Publish Ack (id=167)"
"13043","638.331610654","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","46033","7b276d657373616765273a20276877366d4f68514c78654d375a4f526539753850753173â\200\246","179","Publish Message (id=179) [devices-e55f01d0-3062-495e-9d03-c1e5cb5b2f90]"
"13044","638.343867899","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","46033","1883","7b276d657373616765273a20276877366d4f68514c78654d375a4f526539753850753173â\200\246","","Publish Message [devices-e55f01d0-3062-495e-9d03-c1e5cb5b2f90]"
"13046","638.355622401","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","46033","1883","","179","Publish Ack (id=179)"
