"No.","Time","Source","Destination","Protocol","Length","Source Port","Message Identifier","Destination Port","Info"
"169","16.982249724","192.168.15.6","45.179.91.66","MQTT","68","34366","","1883","Ping Request"
"170","16.998924510","45.179.91.66","192.168.15.6","MQTT","68","1883","","34366","Ping Response"
"290","27.448019125","192.168.15.6","45.179.91.66","MQTT","89","52269","","1883","Connect Command"
"292","27.464280601","192.168.15.6","45.179.91.66","MQTT","354","52269","1,2","1883","Subscribe Request (id=1) [devices-1], Publish Message (id=2) [devices-1]"
"293","27.464220476","45.179.91.66","192.168.15.6","MQTT","70","1883","","52269","Connect Ack"
"295","27.479231084","45.179.91.66","192.168.15.6","MQTT","71","1883","1","52269","Subscribe Ack (id=1)"
"297","27.495630314","45.179.91.66","192.168.15.6","MQTT","340","1883","2","52269","Publish Message [devices-1], Publish Ack (id=2)"
"350","33.064144729","192.168.15.6","45.179.91.66","MQTT","338","52269","3","1883","Publish Message (id=3) [devices-1]"
"352","33.079016914","45.179.91.66","192.168.15.6","MQTT","336","1883","","52269","Publish Message [devices-1]"
"354","33.095181045","45.179.91.66","192.168.15.6","MQTT","70","1883","3","52269","Publish Ack (id=3)"
"380","38.958838838","192.168.15.6","45.179.91.66","MQTT","338","52269","4","1883","Publish Message (id=4) [devices-1]"
"381","38.975068509","45.179.91.66","192.168.15.6","MQTT","336","1883","","52269","Publish Message [devices-1]"
"383","38.990869643","45.179.91.66","192.168.15.6","MQTT","70","1883","4","52269","Publish Ack (id=4)"
"408","44.088076788","192.168.15.6","45.179.91.66","MQTT","338","52269","5","1883","Publish Message (id=5) [devices-1]"
"409","44.102999119","45.179.91.66","192.168.15.6","MQTT","336","1883","","52269","Publish Message [devices-1]"
"413","44.118812260","45.179.91.66","192.168.15.6","MQTT","70","1883","5","52269","Publish Ack (id=5)"
"435","47.857994450","192.168.15.6","45.179.91.66","MQTT","338","52269","6","1883","Publish Message (id=6) [devices-1]"
"436","47.875000801","45.179.91.66","192.168.15.6","MQTT","336","1883","","52269","Publish Message [devices-1]"
"438","47.890870321","45.179.91.66","192.168.15.6","MQTT","70","1883","6","52269","Publish Ack (id=6)"
"464","53.338368108","192.168.15.6","45.179.91.66","MQTT","338","52269","7","1883","Publish Message (id=7) [devices-1]"
"465","53.355084146","45.179.91.66","192.168.15.6","MQTT","336","1883","","52269","Publish Message [devices-1]"
"467","53.370769268","45.179.91.66","192.168.15.6","MQTT","70","1883","7","52269","Publish Ack (id=7)"
"496","56.920546178","192.168.15.6","45.179.91.66","MQTT","338","52269","8","1883","Publish Message (id=8) [devices-1]"
"497","56.934987301","45.179.91.66","192.168.15.6","MQTT","336","1883","","52269","Publish Message [devices-1]"
"510","56.950795414","45.179.91.66","192.168.15.6","MQTT","70","1883","8","52269","Publish Ack (id=8)"
"540","60.907483186","192.168.15.6","45.179.91.66","MQTT","338","52269","9","1883","Publish Message (id=9) [devices-1]"
"547","60.922976330","45.179.91.66","192.168.15.6","MQTT","336","1883","","52269","Publish Message [devices-1]"
"552","60.938784654","45.179.91.66","192.168.15.6","MQTT","70","1883","9","52269","Publish Ack (id=9)"
"614","65.991296689","192.168.15.6","45.179.91.66","MQTT","338","52269","10","1883","Publish Message (id=10) [devices-1]"
"615","66.006969566","45.179.91.66","192.168.15.6","MQTT","336","1883","","52269","Publish Message [devices-1]"
"617","66.022783608","45.179.91.66","192.168.15.6","MQTT","70","1883","10","52269","Publish Ack (id=10)"
